"","Target","Model","N_vars","All_ABC_vars","Iterations","Last_p_value","Is_uniform_end","Note"
"1","BatchID_Ceramides","RandomForest",31,"SPBP.18.2.O2; PC.34.2; PC.36.2; DG.40.7; LPE.22.4; Cer.18.0.O2.24.0; SM.42.1.O2; DG.38.6; Cer.18.1.O2.14.0; SM.41.1.O2; LPE.20.4; Thyroxin; PC.36.3; LPE.22.5; PC.38.4; Hex2NeuAcCer.34.1.O2; LPC.18.3; PC.O.40.7; PC.34.1; Cer.18.1.O2.24.1; SM.42.1.O3; DG.40.6; PC.40.8; PC.42.5; Cer.18.1.O2.24.0; PC.O.18.1_18.2; CAR.20.4; PC.40.7; PI.38.4; LPC.20.5; DG.36.4",2,0.254,TRUE,"Converged to uniform A-set."
"2","BatchID_Ceramides","SVM",63,"PC.34.1; PC.36.5; SM.40.0.O2; SM.41.1.O2; SM.42.1.O2; PE.40.7; PC.32.1; SM.33.2.O2; SM.38.2.O2; SM.36.3.O2; Cer.18.0.O2.24.0; SM.42.1.O3; PC.O.16.0_18.2; LPE.20.4; Cer.18.0.O2.24.0.1; LPI.18.0; PE.34.1; PI.32.1; SM.39.1.O2; SE.27.1.20.3; SM.40.2.O2; SM.43.1.O2; PI.36.4; SM.39.2.O2; PI.40.6; SM.44.3.O2; SM.32.1.O2; DG.36.4; PI.34.2; PC.38.4; PI.38.6; PC.O.18.1_18.2; LPC.O.18.0; PI.38.5; LPC.18.3; DG.34.1; CAR.20.4; PI.36.5; PC.36.0; PC.34.0.O; LPC.20.5; LPC.O.18.1; PI.36.2; PC.O.18.1_20.4; SM.42.2.O2; Hex2NeuAcCer.34.1.O2; Hex2Cer.18.1.O2.18.0; LPC.O.16.1; Cer.18.1.O2.24.0; PI.40.5; PI.37.4; LPC.O.16.0; PC.O.16.1_18.1; Cer.18.1.O2.20.0.1; PI.38.4; PI.34.1; LPC.20.4; SM.43.2.O2; PC.O.16.0_20.4; PI.36.1; SM.42.4.O2; PC.O.40.7; PC.O.16.1_18.2",2,0.916,TRUE,"Converged to uniform A-set."
"3","BatchID_Endocannabinoids","RandomForest",4,"LPA.18.2; LPC.18.3; LPA.20.4; Thyroxin",1,0.763,TRUE,"Converged to uniform A-set."
"4","BatchID_Endocannabinoids","SVM",6,"LPA.18.2; PC.O.16.1_18.2; PC.O.16.1_18.1; PC.O.18.1_20.4; PC.O.16.1_20.4; LPA.20.4",4,0.148,TRUE,"Converged to uniform A-set."
"5","BatchID_LPA","RandomForest",4,"LPA.18.2; LPC.18.3; LPA.20.4; Thyroxin",1,1,TRUE,"Converged to uniform A-set."
"6","BatchID_LPA","SVM",6,"LPA.18.2; PC.O.16.1_18.2; PC.O.16.1_18.1; PC.O.18.1_20.4; PC.O.16.1_20.4; LPA.20.4",4,0.0815,TRUE,"Converged to uniform A-set."
"7","BatchID_Lipidomics","RandomForest",31,"SPBP.18.2.O2; PC.34.2; PC.36.2; DG.40.7; LPE.22.4; Cer.18.0.O2.24.0; SM.42.1.O2; DG.38.6; Cer.18.1.O2.14.0; SM.41.1.O2; LPE.20.4; Thyroxin; PC.36.3; LPE.22.5; PC.38.4; Hex2NeuAcCer.34.1.O2; LPC.18.3; PC.O.40.7; PC.34.1; Cer.18.1.O2.24.1; SM.42.1.O3; DG.40.6; PC.40.8; PC.42.5; Cer.18.1.O2.24.0; PC.O.18.1_18.2; CAR.20.4; PC.40.7; PI.38.4; LPC.20.5; DG.36.4",2,0.087,TRUE,"Converged to uniform A-set."
"8","BatchID_Lipidomics","SVM",137,"PC.34.1; PC.36.5; SM.40.0.O2; SM.41.1.O2; SM.42.1.O2; PE.40.7; PC.32.1; SM.33.2.O2; SM.38.2.O2; SM.36.3.O2; Cer.18.0.O2.24.0; SM.42.1.O3; PC.O.16.0_18.2; LPE.20.4; Cer.18.0.O2.24.0.1; LPI.18.0; PE.34.1; PI.32.1; SM.39.1.O2; SE.27.1.20.3; SM.40.2.O2; SM.43.1.O2; PI.36.4; SM.39.2.O2; PI.40.6; SM.44.3.O2; SM.32.1.O2; DG.36.4; PI.34.2; PC.38.4; PI.38.6; PC.O.18.1_18.2; LPC.O.18.0; PI.38.5; LPC.18.3; DG.34.1; CAR.20.4; PI.36.5; PC.36.0; PC.34.0.O; LPC.20.5; LPC.O.18.1; PI.36.2; PC.O.18.1_20.4; SM.42.2.O2; Hex2NeuAcCer.34.1.O2; Hex2Cer.18.1.O2.18.0; LPC.O.16.1; Cer.18.1.O2.24.0; PI.40.5; PI.37.4; LPC.O.16.0; PC.O.16.1_18.1; Cer.18.1.O2.20.0.1; PI.38.4; PI.34.1; LPC.20.4; SM.43.2.O2; PC.O.16.0_20.4; PI.36.1; SM.42.4.O2; PC.O.40.7; PC.O.16.1_18.2; Cer.18.1.O2.24.0.1; SM.40.3.O2; PC.39.4; PC.34.2; PC.36.3; PC.O.16.1_16.0; ST.27.1.O.S; SM.34.0.O2; PE.40.6; PC.42.5; Cer.18.1.O2.26.0; SM.34.1.O3; PC.36.4; CAR.18.1; PC.34.0; PC.36.2; PC.32.2; PC.O.16.1_20.4; PE.O.36.6; LPE.O.18.1; Cer.18.1.O2.22.0; Hex2Cer.18.1.O2.24.0.1; SE.27.1.18.2; SM.32.2.O2; LPE.22.4; PE.36.5; PC.34.3; HexCer.18.1.O2.22.0; LPC.22.4; LPE.20.5; Cer.18.1.O2.24.1; DG.36.2; PE.38.6; SM.34.1.O2; Hex2Cer.18.1.O2.24.0; HexCer.18.1.O2.24.1; LPE.O.20.1; ST.19.2.O2.S; PC.O.16.0_16.0; SE.27.1.20.4; PC.39.5; PC.37.3; CAR.12.1; SM.34.2.O2; LPI.20.3; Cer.18.1.O2.24.1.1; Cer.18.1.O2.14.0; PC.38.6; LPC.17.0; LPC.20.0; TG.58.8; PC.30.1; LPE.O.18.2; LPC.18.0; PC.35.3; LPC.19.0; DG.34.2; LPC.15.0; PE.O.18.1_16.0; LPC.22.5; Cer.18.1.O2.18.0; PE.O.38.2; CAR.10.0; LPC.O.18.2; CAR.16.0; LPE.22.6; HexCer.18.1.O2.24.0; PE.O.16.1_20.4; PC.40.8; PC.37.6; CAR.14.1; LPC.19.1; PE.O.16.1_18.2; LPC.20.2",1,0.423,TRUE,"Converged to uniform A-set."
"9","BatchID_Oxylipins","RandomForest",12,"SPBP.18.2.O2; PC.34.2; PC.36.2; DG.40.7; LPE.22.4; Cer.18.0.O2.24.0; SM.42.1.O2; DG.38.6; Cer.18.1.O2.14.0; SM.41.1.O2; LPE.20.4; Thyroxin",3,0.6215,TRUE,"Converged to uniform A-set."
"10","BatchID_Oxylipins","SVM",137,"PC.34.1; PC.36.5; SM.40.0.O2; SM.41.1.O2; SM.42.1.O2; PE.40.7; PC.32.1; SM.33.2.O2; SM.38.2.O2; SM.36.3.O2; Cer.18.0.O2.24.0; SM.42.1.O3; PC.O.16.0_18.2; LPE.20.4; Cer.18.0.O2.24.0.1; LPI.18.0; PE.34.1; PI.32.1; SM.39.1.O2; SE.27.1.20.3; SM.40.2.O2; SM.43.1.O2; PI.36.4; SM.39.2.O2; PI.40.6; SM.44.3.O2; SM.32.1.O2; DG.36.4; PI.34.2; PC.38.4; PI.38.6; PC.O.18.1_18.2; LPC.O.18.0; PI.38.5; LPC.18.3; DG.34.1; CAR.20.4; PI.36.5; PC.36.0; PC.34.0.O; LPC.20.5; LPC.O.18.1; PI.36.2; PC.O.18.1_20.4; SM.42.2.O2; Hex2NeuAcCer.34.1.O2; Hex2Cer.18.1.O2.18.0; LPC.O.16.1; Cer.18.1.O2.24.0; PI.40.5; PI.37.4; LPC.O.16.0; PC.O.16.1_18.1; Cer.18.1.O2.20.0.1; PI.38.4; PI.34.1; LPC.20.4; SM.43.2.O2; PC.O.16.0_20.4; PI.36.1; SM.42.4.O2; PC.O.40.7; PC.O.16.1_18.2; Cer.18.1.O2.24.0.1; SM.40.3.O2; PC.39.4; PC.34.2; PC.36.3; PC.O.16.1_16.0; ST.27.1.O.S; SM.34.0.O2; PE.40.6; PC.42.5; Cer.18.1.O2.26.0; SM.34.1.O3; PC.36.4; CAR.18.1; PC.34.0; PC.36.2; PC.32.2; PC.O.16.1_20.4; PE.O.36.6; LPE.O.18.1; Cer.18.1.O2.22.0; Hex2Cer.18.1.O2.24.0.1; SE.27.1.18.2; SM.32.2.O2; LPE.22.4; PE.36.5; PC.34.3; HexCer.18.1.O2.22.0; LPC.22.4; LPE.20.5; Cer.18.1.O2.24.1; DG.36.2; PE.38.6; SM.34.1.O2; Hex2Cer.18.1.O2.24.0; HexCer.18.1.O2.24.1; LPE.O.20.1; ST.19.2.O2.S; PC.O.16.0_16.0; SE.27.1.20.4; PC.39.5; PC.37.3; CAR.12.1; SM.34.2.O2; LPI.20.3; Cer.18.1.O2.24.1.1; Cer.18.1.O2.14.0; PC.38.6; LPC.17.0; LPC.20.0; TG.58.8; PC.30.1; LPE.O.18.2; LPC.18.0; PC.35.3; LPC.19.0; DG.34.2; LPC.15.0; PE.O.18.1_16.0; LPC.22.5; Cer.18.1.O2.18.0; PE.O.38.2; CAR.10.0; LPC.O.18.2; CAR.16.0; LPE.22.6; HexCer.18.1.O2.24.0; PE.O.16.1_20.4; PC.40.8; PC.37.6; CAR.14.1; LPC.19.1; PE.O.16.1_18.2; LPC.20.2",1,0.2735,TRUE,"Converged to uniform A-set."
